               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.039734,              0.0377,           0.0030435,             0.87158,             0.83583,             0.89606,             0.55682,            0.032685,            0.018524,          0.00065759,             0.00615,             0.00615,             0.00615
                  72,            0.039953,            0.038611,           0.0031039,              0.8573,             0.83541,             0.89337,             0.55461,            0.032996,            0.018664,          0.00061339,            0.006095,            0.006095,            0.006095
                  73,            0.039229,            0.038174,            0.002912,              0.8522,             0.84894,             0.89476,             0.55871,            0.032353,            0.018372,          0.00059621,             0.00604,             0.00604,             0.00604
                  74,             0.03977,            0.037602,           0.0031185,             0.86046,             0.84426,             0.89529,             0.55961,            0.032475,            0.018657,          0.00061646,            0.005985,            0.005985,            0.005985
                  75,            0.039317,            0.037983,           0.0028503,             0.87227,              0.8447,             0.90081,             0.56624,            0.032375,            0.018047,          0.00058128,             0.00593,             0.00593,             0.00593
                  76,            0.039651,            0.037824,           0.0029803,             0.87142,             0.84702,             0.90259,              0.5687,            0.032081,            0.017996,          0.00057365,            0.005875,            0.005875,            0.005875
                  77,             0.03947,            0.037085,           0.0029495,             0.86907,             0.85017,             0.90342,             0.57068,            0.032127,            0.018126,          0.00057262,             0.00582,             0.00582,             0.00582
                  78,            0.039466,            0.037788,           0.0029101,             0.87377,             0.84921,             0.90593,             0.56803,            0.032089,            0.018014,          0.00059113,            0.005765,            0.005765,            0.005765
                  79,            0.039371,            0.037195,           0.0029262,             0.87262,             0.85116,             0.90604,             0.57397,            0.031656,            0.017811,          0.00056656,             0.00571,             0.00571,             0.00571
                  80,            0.039188,            0.037405,           0.0028587,             0.86409,             0.84267,             0.90077,             0.56171,            0.032387,            0.018242,          0.00059626,            0.005655,            0.005655,            0.005655
                  81,            0.039187,            0.037011,            0.002797,             0.87444,             0.85301,               0.907,             0.57766,            0.031672,            0.017724,          0.00056094,              0.0056,              0.0056,              0.0056
                  82,            0.038893,            0.037381,           0.0029118,             0.86962,             0.85978,             0.90638,             0.57994,            0.031412,            0.017788,          0.00056633,            0.005545,            0.005545,            0.005545
                  83,            0.039127,            0.037043,           0.0028309,             0.87049,              0.8645,             0.90855,             0.58088,            0.031429,            0.017794,          0.00053365,             0.00549,             0.00549,             0.00549
                  84,            0.038707,            0.036567,           0.0028468,             0.87711,             0.86215,             0.90957,             0.57991,             0.03145,            0.017712,          0.00052088,            0.005435,            0.005435,            0.005435
                  85,            0.038661,            0.037134,           0.0029949,             0.87447,             0.86019,             0.91046,              0.5826,            0.031425,            0.017672,          0.00051889,             0.00538,             0.00538,             0.00538
                  86,            0.038718,            0.036999,           0.0027015,             0.87731,              0.8648,             0.91332,             0.58912,            0.031053,            0.017629,          0.00051821,            0.005325,            0.005325,            0.005325
                  87,            0.038784,            0.036615,           0.0028394,             0.87904,             0.86184,             0.91398,              0.5926,            0.031019,            0.017414,          0.00051172,             0.00527,             0.00527,             0.00527
                  88,            0.038576,            0.036718,           0.0027803,             0.88098,             0.86932,             0.91501,             0.59697,            0.030754,            0.017314,          0.00050755,            0.005215,            0.005215,            0.005215
                  89,            0.038407,            0.036593,           0.0027731,              0.8858,             0.86512,             0.91407,             0.59414,            0.030844,            0.017357,          0.00048833,             0.00516,             0.00516,             0.00516
                  90,            0.038788,            0.036946,           0.0027218,             0.88589,             0.86033,             0.91407,             0.59404,            0.030992,            0.017341,          0.00047608,            0.005105,            0.005105,            0.005105
                  91,              0.0386,            0.036686,           0.0028538,             0.88825,             0.85583,             0.91359,             0.59018,            0.031121,            0.017366,           0.0004823,             0.00505,             0.00505,             0.00505
                  92,            0.038219,            0.036607,           0.0025785,             0.88668,             0.86974,             0.91906,             0.59797,            0.030648,            0.017184,          0.00046958,            0.004995,            0.004995,            0.004995
                  93,             0.03823,            0.036306,           0.0026141,             0.88845,             0.86514,               0.918,             0.59672,            0.030769,            0.017152,          0.00047365,             0.00494,             0.00494,             0.00494
                  94,            0.038416,            0.036697,           0.0026473,             0.88671,             0.86571,             0.91843,             0.59539,            0.030971,             0.01724,          0.00047852,            0.004885,            0.004885,            0.004885
                  95,            0.037882,            0.036264,           0.0026183,             0.89507,             0.86849,             0.92077,             0.60306,            0.030416,            0.017011,          0.00046105,             0.00483,             0.00483,             0.00483
                  96,               0.038,            0.036599,           0.0025892,             0.88385,             0.86799,             0.91783,             0.59866,             0.03056,            0.017165,          0.00045987,            0.004775,            0.004775,            0.004775
